================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 46, iters: 50, time: 0.620, data: 0.001) D_A: 0.246 G_A: 0.499 cycle_A: 1.367 idt_A: 0.340 D_B: 0.222 G_B: 0.287 cycle_B: 0.807 idt_B: 0.719 
(epoch: 46, iters: 150, time: 0.080, data: 0.001) D_A: 0.191 G_A: 0.233 cycle_A: 1.016 idt_A: 0.418 D_B: 0.161 G_B: 0.453 cycle_B: 0.898 idt_B: 0.541 
(epoch: 47, iters: 100, time: 0.080, data: 0.244) D_A: 0.404 G_A: 0.065 cycle_A: 0.798 idt_A: 0.423 D_B: 0.209 G_B: 0.273 cycle_B: 0.916 idt_B: 0.335 
(epoch: 48, iters: 50, time: 0.079, data: 0.002) D_A: 0.234 G_A: 0.200 cycle_A: 0.990 idt_A: 0.382 D_B: 0.253 G_B: 0.240 cycle_B: 0.834 idt_B: 0.440 
(epoch: 48, iters: 150, time: 0.589, data: 0.001) D_A: 0.187 G_A: 0.082 cycle_A: 0.666 idt_A: 0.380 D_B: 0.188 G_B: 0.344 cycle_B: 0.673 idt_B: 0.273 
(epoch: 49, iters: 100, time: 0.080, data: 0.235) D_A: 0.280 G_A: 0.286 cycle_A: 0.597 idt_A: 0.740 D_B: 0.232 G_B: 0.054 cycle_B: 1.640 idt_B: 0.267 
(epoch: 50, iters: 50, time: 0.080, data: 0.001) D_A: 0.360 G_A: 0.078 cycle_A: 0.752 idt_A: 0.319 D_B: 0.186 G_B: 0.228 cycle_B: 0.885 idt_B: 0.508 
(epoch: 50, iters: 150, time: 0.080, data: 0.001) D_A: 0.165 G_A: 0.297 cycle_A: 1.083 idt_A: 0.446 D_B: 0.250 G_B: 0.142 cycle_B: 1.027 idt_B: 0.522 
(epoch: 51, iters: 100, time: 0.745, data: 0.248) D_A: 0.095 G_A: 0.434 cycle_A: 1.669 idt_A: 1.153 D_B: 0.163 G_B: 0.330 cycle_B: 2.733 idt_B: 0.849 
(epoch: 52, iters: 50, time: 0.082, data: 0.002) D_A: 0.357 G_A: 0.637 cycle_A: 1.408 idt_A: 0.326 D_B: 0.157 G_B: 0.254 cycle_B: 0.756 idt_B: 0.601 
(epoch: 52, iters: 150, time: 0.080, data: 0.002) D_A: 0.216 G_A: 0.083 cycle_A: 0.520 idt_A: 0.407 D_B: 0.294 G_B: 0.171 cycle_B: 0.792 idt_B: 0.245 
(epoch: 53, iters: 100, time: 0.080, data: 0.231) D_A: 0.161 G_A: 0.492 cycle_A: 1.126 idt_A: 0.308 D_B: 0.097 G_B: 0.435 cycle_B: 0.939 idt_B: 0.519 
(epoch: 54, iters: 50, time: 0.588, data: 0.001) D_A: 0.242 G_A: 0.318 cycle_A: 0.739 idt_A: 0.522 D_B: 0.284 G_B: 0.222 cycle_B: 1.541 idt_B: 0.297 
